node1,node2,timestamp
30,60,1
48,83,1
25,50,2
87,98,3
48,73,8
12,21,9
19,61,11
68,85,11
87,99,11
26,47,12
58,82,12
6,37,13
15,96,14
37,92,14
50,55,15
61,99,15
56,68,19
84,97,20
4,17,22
51,99,22
10,56,24
16,42,25
27,97,25
10,32,27
44,59,27
17,72,31
60,72,32
17,93,35
26,32,36
17,41,37
50,55,39
74,81,40
46,53,41
64,93,42
33,50,43
34,52,43
53,99,43
6,32,46
8,30,46
14,81,46
46,77,46
31,61,47
73,93,47
9,86,49
39,76,52
31,58,52
73,85,52
29,41,55
11,24,56
42,86,56
19,67,56
67,89,56
18,21,58
6,93,58
14,82,67
7,64,67
13,15,72
25,49,72
27,59,72
16,56,74
28,87,74
61,86,74
12,59,75
11,80,76
16,73,76
39,43,78
44,63,78
9,47,85
23,27,86
29,43,87
11,37,87
93,100,87
25,48,89
79,97,89
3,9,90
56,76,90
7,14,91
5,19,92
8,76,92
27,89,96
37,58,96
9,51,98
53,95,99
24,87,100
56,75,101
7,92,103
18,84,103
40,57,104
15,95,104
10,98,105
47,77,106
7,90,106
40,71,110
15,91,111
2,88,113
25,33,113
34,90,113
17,77,114
57,72,115
2,24,116
61,85,117
19,78,120
12,15,121
13,39,123
45,56,123
68,87,123
73,98,123
10,97,123
2,53,124
29,95,124
9,15,126
48,99,127
13,71,128
7,52,129
2,9,130
5,59,130
45,77,130
30,58,133
52,70,135
59,71,138
88,95,139
1,13,143
35,86,143
59,100,143
70,100,144
31,48,146
5,32,147
27,37,147
38,74,147
35,73,148
12,59,150
77,96,150
7,75,152
46,53,152
77,79,152
40,79,153
95,97,153
1,18,157
73,97,158
4,99,158
14,51,159
27,99,160
21,65,163
50,69,163
54,99,163
6,31,164
57,82,164
42,84,164
30,59,165
3,26,166
26,39,170
68,85,170
67,68,172
55,65,173
10,67,174
10,73,175
75,78,175
2,14,176
1,50,178
14,76,178
89,99,178
13,68,179
29,74,182
43,93,183
64,97,183
2,3,184
9,40,184
15,44,186
17,18,186
25,57,186
85,97,186
56,63,187
15,98,187
8,15,188
10,39,191
15,66,191
11,38,191
58,80,191
11,49,192
14,29,195
50,51,195
37,38,196
20,42,197
64,75,203
30,79,203
44,66,204
9,59,205
38,53,205
25,76,210
54,73,212
73,92,213
25,95,216
35,45,216
51,94,216
8,94,217
4,43,221
50,67,222
22,77,222
20,67,224
9,74,225
24,82,225
37,95,229
39,54,230
50,55,230
